Year,Quarter,Market,TkCarrier,Passengers,MktFare,Origin,Destination
2018,1,12953-13930,AA,19708.0,154.53443201133143,LGA,ORD
2018,1,12953-13930,DL,8015.0,162.31163950881657,LGA,ORD
2018,1,12953-13930,NK,3678.0,54.699470989761096,LGA,ORD
2018,1,12953-13930,UA,17561.0,159.3735865627781,LGA,ORD
2018,2,12953-13930,AA,25979.0,222.05010404885772,LGA,ORD
2018,2,12953-13930,DL,11738.0,200.83070647529507,LGA,ORD
2018,2,12953-13930,NK,5925.0,67.89272058823529,LGA,ORD
2018,2,12953-13930,UA,23445.0,194.4167468220037,LGA,ORD
2018,3,12953-13930,AA,25489.0,218.99199604254264,LGA,ORD
2018,3,12953-13930,DL,12357.0,186.9300699473552,LGA,ORD
2018,3,12953-13930,NK,5789.0,71.99152486187846,LGA,ORD
2018,3,12953-13930,UA,20754.0,196.23025694392967,LGA,ORD
2018,4,12953-13930,AA,22980.0,221.63995805576116,LGA,ORD
2018,4,12953-13930,DL,12335.0,198.9398416969399,LGA,ORD
2018,4,12953-13930,NK,5621.0,75.48308589607635,LGA,ORD
2018,4,12953-13930,UA,21367.0,209.2874192363969,LGA,ORD
2019,1,12953-13930,AA,19748.0,208.94577190946023,LGA,ORD
2019,1,12953-13930,DL,9009.0,173.05860271802555,LGA,ORD
2019,1,12953-13930,NK,4386.0,61.66794435857805,LGA,ORD
2019,1,12953-13930,UA,16256.0,185.25012621172584,LGA,ORD
2019,2,12953-13930,AA,23138.0,229.78510121457487,LGA,ORD
2019,2,12953-13930,DL,16753.0,185.19745557019976,LGA,ORD
2019,2,12953-13930,NK,5663.0,72.10463157894736,LGA,ORD
2019,2,12953-13930,UA,22001.0,216.71179558082375,LGA,ORD
2019,3,12953-13930,AA,21856.0,232.51364717542123,LGA,ORD
2019,3,12953-13930,DL,15764.0,219.2721269296741,LGA,ORD
2019,3,12953-13930,NK,6281.0,86.56326804123711,LGA,ORD
2019,3,12953-13930,UA,18974.0,216.95807257303906,LGA,ORD
2019,4,12953-13930,AA,17491.0,188.3384656084656,LGA,ORD
2019,4,12953-13930,DL,13443.0,290.58721489188565,LGA,ORD
2019,4,12953-13930,NK,4725.0,91.05858227848101,LGA,ORD
2019,4,12953-13930,UA,19353.0,219.96873843065868,LGA,ORD
2020,1,12953-13930,AA,10656.0,211.3464189958592,LGA,ORD
2020,1,12953-13930,DL,8580.0,201.53048624754422,LGA,ORD
2020,1,12953-13930,NK,1824.0,70.721875,LGA,ORD
2020,1,12953-13930,UA,10272.0,200.6654562252354,LGA,ORD
2020,2,12953-13930,AA,1706.0,133.47831023422788,LGA,ORD
2020,2,12953-13930,DL,546.0,163.3998062015504,LGA,ORD
2020,2,12953-13930,NK,153.0,46.94078431372549,LGA,ORD
2020,2,12953-13930,UA,486.0,158.17728068450037,LGA,ORD
2020,3,12953-13930,AA,2933.0,121.24377676795257,LGA,ORD
2020,3,12953-13930,DL,2435.0,150.49622252747253,LGA,ORD
2020,3,12953-13930,NK,1005.0,38.17289340101522,LGA,ORD
2020,3,12953-13930,UA,1568.0,144.18157359992225,LGA,ORD
2020,4,12953-13930,AA,2666.0,128.52189376749112,LGA,ORD
2020,4,12953-13930,DL,2469.0,145.03633844313254,LGA,ORD
2020,4,12953-13930,UA,2723.0,94.75266168689699,LGA,ORD
2021,1,12953-13930,AA,2144.0,140.1823710357268,LGA,ORD
2021,1,12953-13930,B6,99.0,78.07346153846154,LGA,ORD
2021,1,12953-13930,DL,1950.0,157.51522788203755,LGA,ORD
2021,1,12953-13930,UA,1621.0,139.58036760761874,LGA,ORD
2021,2,12953-13930,AA,6009.0,236.02581016395885,LGA,ORD
2021,2,12953-13930,B6,550.0,192.77043539325842,LGA,ORD
2021,2,12953-13930,DL,6025.0,209.9680792431003,LGA,ORD
2021,2,12953-13930,UA,3034.0,206.533907102376,LGA,ORD
2021,3,12953-13930,AA,7318.0,239.3090331048752,LGA,ORD
2021,3,12953-13930,B6,563.0,108.62261904761904,LGA,ORD
2021,3,12953-13930,DL,11181.0,239.38371510234884,LGA,ORD
2021,3,12953-13930,UA,7196.0,241.17481091212213,LGA,ORD
2021,4,12953-13930,AA,12908.0,191.51509492107127,LGA,ORD
2021,4,12953-13930,B6,1367.0,149.94765685328184,LGA,ORD
2021,4,12953-13930,DL,11211.0,196.3443537117904,LGA,ORD
2021,4,12953-13930,UA,10364.0,171.61327237953608,LGA,ORD
2022,1,12953-13930,AA,10372.0,134.38503867087996,LGA,ORD
2022,1,12953-13930,B6,733.0,181.28122368421052,LGA,ORD
2022,1,12953-13930,DL,5770.0,171.67472474289173,LGA,ORD
2022,1,12953-13930,UA,7438.0,124.90488779701847,LGA,ORD
2022,2,12953-13930,AA,19874.0,195.57588812279405,LGA,ORD
2022,2,12953-13930,B6,1641.0,160.60799031476998,LGA,ORD
2022,2,12953-13930,DL,9392.0,215.04795936013835,LGA,ORD
2022,2,12953-13930,UA,14967.0,196.50704982722095,LGA,ORD
2022,3,12953-13930,AA,20966.0,190.0483107104268,LGA,ORD
2022,3,12953-13930,B6,1699.0,197.71606270170585,LGA,ORD
2022,3,12953-13930,DL,9559.0,228.5577287356322,LGA,ORD
2022,3,12953-13930,UA,15514.0,196.5992479987127,LGA,ORD
2022,4,12953-13930,AA,18699.0,246.78983467846916,LGA,ORD
2022,4,12953-13930,B6,545.0,244.8173113207547,LGA,ORD
2022,4,12953-13930,DL,8963.0,237.30107128309572,LGA,ORD
2022,4,12953-13930,UA,13842.0,210.62674164151977,LGA,ORD
